image_path,original_filename,breed,age_min,age_max,age_mid,age_range,sex,age_label,dataset
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\beagle 2-5 F(5).png,beagle 2-5 F(5).png,beagle,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Beagle 2-5 F.png,Beagle 2-5 F.png,beagle,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Beagle 2-5 M.png,Beagle 2-5 M.png,beagle,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Belgian Malinois 2-5 F copy.jpg,Belgian Malinois 2-5 F copy.jpg,belgian malinois,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border collie 2-5 F (20).png,border collie 2-5 F (20).png,border collie,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border collie 2-5 F copy.jpg,border collie 2-5 F copy.jpg,border collie,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border collie 2-5 F(1) copy.jpg,border collie 2-5 F(1) copy.jpg,border collie,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border collie 2-5 F(2) copy.jpg,border collie 2-5 F(2) copy.jpg,border collie,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border collie 2-5 F(4).png,border collie 2-5 F(4).png,border collie,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Border Collie 2-5 M copy.jpg,Border Collie 2-5 M copy.jpg,border collie,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Border collie 2-5 M(1) copy.jpg,Border collie 2-5 M(1) copy.jpg,border collie,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Border collie 2-5 M(1).png,Border collie 2-5 M(1).png,border collie,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border collie 2-5 M(10).png,border collie 2-5 M(10).png,border collie,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border collie 2-5 M(2) copy.jpg,border collie 2-5 M(2) copy.jpg,border collie,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Border collie 2-5 M(2).png,Border collie 2-5 M(2).png,border collie,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border collie 2-5 M(3) copy.jpg,border collie 2-5 M(3) copy.jpg,border collie,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border collie 2-5 M(4) copy.jpg,border collie 2-5 M(4) copy.jpg,border collie,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Border collie 2-5 M.png,Border collie 2-5 M.png,border collie,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border collie 3 F(2).png,border collie 3 F(2).png,border collie,3.0,3.0,3.0,3,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border collie cross 2-5 F (1) copy.jpg,border collie cross 2-5 F (1) copy.jpg,border collie cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Border collie cross 2-5 F copy.jpg,Border collie cross 2-5 F copy.jpg,border collie cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border collie cross 2-5 F(12).png,border collie cross 2-5 F(12).png,border collie cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border collie cross 2-5 F.png,border collie cross 2-5 F.png,border collie cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Border collie cross 2-5 M copy.jpg,Border collie cross 2-5 M copy.jpg,border collie cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border Collie cross 2-5 M(3) copy.jpg,border Collie cross 2-5 M(3) copy.jpg,border collie cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border terrier 2-5 M.png,border terrier 2-5 M.png,border terrier,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\border terrier 5 F.png,border terrier 5 F.png,border terrier,5.0,5.0,5.0,5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Boxer 2-5 F copy.jpg,Boxer 2-5 F copy.jpg,boxer,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\boxer cross 2-5 F.png,boxer cross 2-5 F.png,boxer cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\boxer cross 2-5 M (2).png,boxer cross 2-5 M (2).png,boxer cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\boxer cross 2-5 M.png,boxer cross 2-5 M.png,boxer cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Bruxellois Griffon 2-5 M copy.jpg,Bruxellois Griffon 2-5 M copy.jpg,bruxellois griffon,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Bull mastiff 2-5 F copy.jpg,Bull mastiff 2-5 F copy.jpg,bull mastiff,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Bulldog 4 F.png,Bulldog 4 F.png,bulldog,4.0,4.0,4.0,4,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\bulldog cross 4 M(1).png,bulldog cross 4 M(1).png,bulldog cross,4.0,4.0,4.0,4,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\bullmastiff 2-5 M copy.jpg,bullmastiff 2-5 M copy.jpg,bullmastiff,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Chihuahua 2-5 M copy.jpg,Chihuahua 2-5 M copy.jpg,chihuahua,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\chihuahua 5 F.png,chihuahua 5 F.png,chihuahua,5.0,5.0,5.0,5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\chihuahua cross pug 5 M.png,chihuahua cross pug 5 M.png,chihuahua cross pug,5.0,5.0,5.0,5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\chihuahua long hair 3 M (2).png,chihuahua long hair 3 M (2).png,chihuahua long hair,3.0,3.0,3.0,3,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\chihuahua short hair 2-5 F (2).png,chihuahua short hair 2-5 F (2).png,chihuahua short hair,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\chihuahua short hair 2-5 M(2).png,chihuahua short hair 2-5 M(2).png,chihuahua short hair,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\chihuahua short hair 2-5 M.png,chihuahua short hair 2-5 M.png,chihuahua short hair,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\chow chow 2-5 M copy.jpg,chow chow 2-5 M copy.jpg,chow chow,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cocker spaniel american 2-5 M copy.jpg,cocker spaniel american 2-5 M copy.jpg,cocker spaniel american,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Collie 2-5 M copy.jpg,Collie 2-5 M copy.jpg,collie,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Collie 2-5 M(2) copy.jpg,Collie 2-5 M(2) copy.jpg,collie,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Collie cross 2-5 F copy.jpg,Collie cross 2-5 F copy.jpg,collie cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\collie cross 2-5 F(1) copy.jpg,collie cross 2-5 F(1) copy.jpg,collie cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Collie cross 2-5 F(2) copy.jpg,Collie cross 2-5 F(2) copy.jpg,collie cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Collie cross 2-5 F(3) copy.jpg,Collie cross 2-5 F(3) copy.jpg,collie cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Collie cross 2-5 M copy.jpg,Collie cross 2-5 M copy.jpg,collie cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Collie cross 2-5 M(1) copy.jpg,Collie cross 2-5 M(1) copy.jpg,collie cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Collie cross 2-5 M(2) copy.jpg,Collie cross 2-5 M(2) copy.jpg,collie cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Collie cross 2-5 M(3) copy.jpg,Collie cross 2-5 M(3) copy.jpg,collie cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\collie cross 2-5 M(4) copy.jpg,collie cross 2-5 M(4) copy.jpg,collie cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\collie cross 2-5 M(6) copy.jpg,collie cross 2-5 M(6) copy.jpg,collie cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\collie cross 2-5 M(9) copy.jpg,collie cross 2-5 M(9) copy.jpg,collie cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\collie cross 2-5 M.png,collie cross 2-5 M.png,collie cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 1-2 F(4) copy.jpg,Cross 1-2 F(4) copy.jpg,cross,1.0,2.0,1.5,1-2,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 F (10) copy.jpg,Cross 2-5 F (10) copy.jpg,cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 F (11) copy.jpg,cross 2-5 F (11) copy.jpg,cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 F (12) copy.jpg,cross 2-5 F (12) copy.jpg,cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 F (3) copy.jpg,Cross 2-5 F (3) copy.jpg,cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 F (5) copy.jpg,Cross 2-5 F (5) copy.jpg,cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 F (6) copy.jpg,Cross 2-5 F (6) copy.jpg,cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 F copy.jpg,Cross 2-5 F copy.jpg,cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 F(11) copy.jpg,cross 2-5 F(11) copy.jpg,cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 F(2) copy.jpg,Cross 2-5 F(2) copy.jpg,cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 F(9) copy.jpg,Cross 2-5 F(9) copy.jpg,cross,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 M (14) copy.jpg,Cross 2-5 M (14) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 M (15) copy.jpg,Cross 2-5 M (15) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 M (16) copy.jpg,Cross 2-5 M (16) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M (17) copy.jpg,cross 2-5 M (17) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M (31) copy.jpg,cross 2-5 M (31) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 M copy.jpg,Cross 2-5 M copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 M(10) copy.jpg,Cross 2-5 M(10) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(11) copy.jpg,cross 2-5 M(11) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 M(12) copy.jpg,Cross 2-5 M(12) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 M(13) copy.jpg,Cross 2-5 M(13) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 M(15) copy.jpg,Cross 2-5 M(15) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 M(16) copy.jpg,Cross 2-5 M(16) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(18) copy.jpg,cross 2-5 M(18) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(20) copy.jpg,cross 2-5 M(20) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(21) copy.jpg,cross 2-5 M(21) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(22) copy.jpg,cross 2-5 M(22) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(23) copy.jpg,cross 2-5 M(23) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(24) copy.jpg,cross 2-5 M(24) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(25) copy.jpg,cross 2-5 M(25) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(26) copy.jpg,cross 2-5 M(26) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(27) copy.jpg,cross 2-5 M(27) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(28) copy.jpg,cross 2-5 M(28) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(29) copy.jpg,cross 2-5 M(29) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(30) copy.jpg,cross 2-5 M(30) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(32) copy.jpg,cross 2-5 M(32) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 M(4) copy.jpg,Cross 2-5 M(4) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\CRoss 2-5 M(5) copy.jpg,CRoss 2-5 M(5) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross 2-5 M(6) copy.jpg,Cross 2-5 M(6) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\cross 2-5 M(9) copy.jpg,cross 2-5 M(9) copy.jpg,cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Cross breed 2-5 M copy.jpg,Cross breed 2-5 M copy.jpg,cross breed,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Crossbreed 2-5 F copy.jpg,Crossbreed 2-5 F copy.jpg,crossbreed,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\crossbreed 2-5 F(2).png,crossbreed 2-5 F(2).png,crossbreed,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\crossbreed 2-5 F(30).png,crossbreed 2-5 F(30).png,crossbreed,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\crossbreed 2-5 F(31).png,crossbreed 2-5 F(31).png,crossbreed,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\crossbreed 2-5 F.png,crossbreed 2-5 F.png,crossbreed,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\crossbreed 2-5 M (31).png,crossbreed 2-5 M (31).png,crossbreed,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\Crossbreed 2-5 M copy.jpg,Crossbreed 2-5 M copy.jpg,crossbreed,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\crossbreed 2-5 M.png,crossbreed 2-5 M.png,crossbreed,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\english bull terrier cross 2-5 M copy.jpg,english bull terrier cross 2-5 M copy.jpg,english bull terrier cross,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\English bullterrier 2-5 M copy.jpg,English bullterrier 2-5 M copy.jpg,english bullterrier,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\English pointer 2-5 M.png,English pointer 2-5 M.png,english pointer,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\foxhound 2-5 M copy.jpg,foxhound 2-5 M copy.jpg,foxhound,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\french bulldog 2-5 M(1).png,french bulldog 2-5 M(1).png,french bulldog,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\German shepherd 2-5 F copy.jpg,German shepherd 2-5 F copy.jpg,german shepherd,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\german shepherd 2-5 F(1) copy.jpg,german shepherd 2-5 F(1) copy.jpg,german shepherd,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\german shepherd 2-5 F(11).png,german shepherd 2-5 F(11).png,german shepherd,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\German Shepherd 2-5 F.png,German Shepherd 2-5 F.png,german shepherd,2.0,5.0,3.5,2-5,F,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\German shepherd 2-5 M (2) copy.jpg,German shepherd 2-5 M (2) copy.jpg,german shepherd,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\German Shepherd 2-5 M (3) copy.jpg,German Shepherd 2-5 M (3) copy.jpg,german shepherd,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\german shepherd 2-5 M (32).png,german shepherd 2-5 M (32).png,german shepherd,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\German shepherd 2-5 M (4) copy.jpg,German shepherd 2-5 M (4) copy.jpg,german shepherd,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\german Shepherd 2-5 M(30).png,german Shepherd 2-5 M(30).png,german shepherd,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\German Shepherd 2-5 M(34).png,German Shepherd 2-5 M(34).png,german shepherd,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\German Shepherd 2-5 M(4) copy.jpg,German Shepherd 2-5 M(4) copy.jpg,german shepherd,2.0,5.0,3.5,2-5,M,Adult,Expert
D:\dogage\dataset\Expert_Train\Expert_TrainEval\Adult\german shepherd 2-5 M(5) copy.jpg,german shepherd 2-5 M(5) copy.jpg,german shepherd,2.0,5.0,3.5,2-5,M,Adult,Expert
